eps1, min_samples1, n_clusters_, n_noise_
651, 12, 16, 146
651, 13, 15, 170
651, 14, 16, 175
651, 15, 14, 205
651, 16, 13, 220
651, 17, 12, 236
651, 18, 9, 298
651, 19, 9, 302
661, 1, 38, 0
661, 2, 28, 10
661, 3, 25, 16
661, 4, 27, 17
661, 5, 23, 36
661, 6, 20, 57
661, 7, 20, 69
661, 8, 16, 104
661, 9, 16, 117
661, 10, 15, 128
661, 11, 15, 129
661, 12, 14, 141
661, 13, 14, 168
661, 14, 14, 173
661, 15, 14, 203
661, 16, 13, 219
661, 17, 12, 235
661, 18, 9, 297
661, 19, 9, 297
671, 1, 37, 0
671, 2, 27, 10
671, 3, 24, 16
671, 4, 27, 16
