Cluster,person_w_disabilty___1,person_w_disabilty___2,person_w_disabilty___3,person_w_disabilty___4,person_w_disabilty___5,person_w_disabilty___6,person_w_disabilty___7,activities_access___1,activities_access___2,activities_access___3,activities_access___4,activities_access___5,activities_access___6,income,age,zip_cd
C5,0,0,0,1,0,0,0,1,1,0,1,0,0,0.8333333333333333,1.0,0.6733598649300531
C5,0,0,0,1,0,0,0,1,1,0,1,0,0,1.0,0.8571428571428571,0.9313394436404566
C2,0,0,0,1,0,0,0,1,1,0,1,0,0,0.0,0.7142857142857142,0.20849413088921048
C3,0,0,0,1,1,1,1,1,1,0,1,0,0,0.6666666666666666,0.8571428571428571,0.9247768933912205
C2,0,0,0,1,0,0,1,1,1,0,1,0,0,0.3333333333333333,0.8571428571428571,0.1478332529345554
C3,0,0,0,0,0,0,1,1,1,0,1,0,0,1.0,1.0,0.1509185560379482
C3,0,0,0,0,0,0,1,1,1,0,1,0,0,0.6666666666666666,1.0,0.15292852548641261
C2,0,0,0,0,0,0,1,1,1,0,1,0,0,0.0,1.0,0.8570610226724553
C3,1,0,0,1,0,0,1,1,1,0,1,0,0,0.6666666666666666,1.0,0.8570610226724553
C1,0,0,0,1,0,0,0,1,1,0,1,0,0,0.8333333333333333,0.42857142857142855,0.6092016401350699
C1,0,0,0,0,0,1,0,1,1,0,1,0,0,0.6666666666666666,0.14285714285714285,0.6077946615211449
C3,0,0,1,1,1,1,0,1,1,0,1,0,0,1.0,0.42857142857142855,0.6074328670204213
C2,0,0,0,0,0,0,1,1,1,0,1,0,0,0.5,1.0,0.8570610226724553
C2,0,0,0,0,0,1,0,0,0,1,1,0,0,0.0,0.7142857142857142,0.07040922977970734
C2,0,0,0,1,0,0,0,1,0,1,1,0,0,0.0,0.7142857142857142,0.07638888888888888
C1,0,0,1,0,1,0,0,1,0,1,1,0,0,0.6666666666666666,0.42857142857142855,0.13416546068499757
C2,0,0,0,1,0,0,0,1,0,1,1,0,0,0.5,0.5714285714285714,0.11433711207589645
C2,0,0,0,1,0,0,0,1,0,1,1,0,0,0.5,0.8571428571428571,0.15294862518089725
C1,0,0,0,1,0,0,0,1,0,1,1,0,0,1.0,0.5714285714285714,0.607050972825213
C1,0,0,0,1,0,0,0,0,1,1,1,0,0,1.0,0.42857142857142855,0.29878195851423056
C2,0,0,0,1,0,0,0,0,1,1,1,0,0,0.16666666666666666,0.5714285714285714,0.28345594146968967
C1,0,0,0,1,1,0,0,1,1,1,1,0,0,0.5,0.2857142857142857,0.9457207750442194
C1,0,0,0,1,0,0,0,1,1,1,1,0,0,1.0,0.42857142857142855,0.30056078147612153
C4,0,0,0,1,1,1,0,1,1,1,1,0,0,0.5,0.42857142857142855,0.40245618266602345
C1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.0,0.5714285714285714,0.15149139733076056
C2,0,0,1,0,1,0,0,0,0,0,0,1,0,0.16666666666666666,0.7142857142857142,0.28858136356327385
C1,0,0,1,0,0,0,0,0,0,0,0,1,0,0.16666666666666666,0.2857142857142857,0.3067012381411802
C2,0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0.8571428571428571,0.11433711207589645
C1,0,0,0,0,1,0,0,0,0,0,0,1,0,0.0,0.14285714285714285,0.1181661038752211
C1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3333333333333333,0.2857142857142857,0.8754522431259044
C1,0,0,0,1,1,1,0,1,0,0,0,1,0,0.16666666666666666,0.14285714285714285,0.3276350699469368
C2,0,0,0,1,0,0,0,1,0,0,0,1,0,0.3333333333333333,1.0,0.07059012703006914
C1,0,0,0,1,0,1,0,1,0,0,0,1,0,0.5,0.2857142857142857,0.930756552500402
C1,0,1,0,0,0,1,0,1,0,0,0,1,0,0.5,0.2857142857142857,0.38530109342338
C1,0,0,0,0,1,0,0,1,0,0,0,1,0,0.5,0.42857142857142855,0.20067534973468404
C2,0,1,0,1,0,1,0,1,0,0,0,1,0,0.5,0.7142857142857142,0.0892325936645763
C2,0,0,0,0,0,0,1,1,0,0,0,1,0,0.0,0.8571428571428571,0.8570610226724553
C1,0,0,1,0,0,0,0,1,0,0,0,1,0,0.5,0.42857142857142855,0.28489306962534167
C3,0,0,0,1,0,0,0,1,0,0,0,1,0,0.6666666666666666,0.8571428571428571,0.6038852709438817
